title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,exclusionReason
月光,はるまきごはん×キタニタツヤ,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=2,BV1AUVr6ZEpE,2,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
magnet recall,湊貴大(流星P),联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=6,BV1AUVr6ZEpE,6,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
林檎売りの泡沫少女,yukkedoluce,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=8,BV1AUVr6ZEpE,8,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
D/N/A,Azari,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=9,BV1AUVr6ZEpE,9,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
おおかみは赤ずきんに恋をした,ひとしずく×やま△,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=10,BV1AUVr6ZEpE,10,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
1925,冨田悠斗(とみー/t-pocket),凛々咲,ririsya.js,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1dLVZ6sEj5?p=3,BV1dLVZ6sEj5,3,1780314346,2026-06-01 19:45:46,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
告白予行練習,HoneyWorks,凛々咲,ririsya.js,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1dLVZ6sEj5?p=8,BV1dLVZ6sEj5,8,1780314346,2026-06-01 19:45:46,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ガランド,ピコン,Figaro,figaro.js,【💐歌切】[2026-05-01]唱很多术力口歌曲的日子！ Figaro,https://www.bilibili.com/video/BV1u6REBgEtH?p=9,BV1u6REBgEtH,9,1777716583,2026-05-02 18:09:43,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ラブ＆デストロイ,ナポリP,Figaro,figaro.js,【💐歌切】[2026-05-01]唱很多术力口歌曲的日子！ Figaro,https://www.bilibili.com/video/BV1u6REBgEtH?p=10,BV1u6REBgEtH,10,1777716583,2026-05-02 18:09:43,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ルーマー,ポリスピカデリー,Figaro,figaro.js,【💐歌切】[2026-05-01]唱很多术力口歌曲的日子！ Figaro,https://www.bilibili.com/video/BV1u6REBgEtH?p=17,BV1u6REBgEtH,17,1777716583,2026-05-02 18:09:43,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
